"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Females","25 to 54 years","Persons","249","thousands","3","v53040222","1.2.4.3.3","904.7","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Females","55 years and over","Persons","249","thousands","3","v53040223","1.2.4.3.4","199.3","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Part-time employment","Both sexes","15 years and over","Persons","249","thousands","3","v53040224","1.2.5.1.1","508.9","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Part-time employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040225","1.2.5.1.2","117.6","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Part-time employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040226","1.2.5.1.3","264.4","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Part-time employment","Both sexes","55 years and over","Persons","249","thousands","3","v53040227","1.2.5.1.4","126.8","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Part-time employment","Males","15 years and over","Persons","249","thousands","3","v53040228","1.2.5.2.1","172.6","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Part-time employment","Males","15 to 24 years","Persons","249","thousands","3","v53040229","1.2.5.2.2","55.5","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Part-time employment","Males","25 to 54 years","Persons","249","thousands","3","v53040230","1.2.5.2.3","65.4","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Part-time employment","Males","55 years and over","Persons","249","thousands","3","v53040231","1.2.5.2.4","51.7","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Part-time employment","Females","15 years and over","Persons","249","thousands","3","v53040232","1.2.5.3.1","336.3","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Part-time employment","Females","15 to 24 years","Persons","249","thousands","3","v53040233","1.2.5.3.2","62.1","","","","1"
